repetition, trial, tTest, response, mode_mean, mode_sd
12,24,-1.990000,1,-2.013626,0.195528
12,25,-1.990000,1,-2.028228,0.208942
12,26,-2.000000,1,-2.044043,0.224991
12,27,-2.000000,1,-2.060576,0.241834
12,28,-2.010000,1,-2.079043,0.260720
12,29,-2.010000,0,-1.982737,0.079140
12,30,-1.990000,1,-1.988980,0.079371
12,31,-2.000000,1,-1.995057,0.081136
12,32,-2.000000,1,-2.000934,0.083889
12,33,-2.010000,1,-2.006814,0.087970
12,34,-2.010000,1,-2.012631,0.092870
12,35,-2.010000,1,-2.018425,0.098507
12,36,-2.020000,1,-2.024460,0.105490
12,37,-2.020000,1,-2.030616,0.113209
12,38,-2.030000,1,-2.037232,0.122459
12,39,-2.030000,0,-2.006940,0.051690
12,40,-2.010000,1,-2.010846,0.051520
13,1,-1.000000,1,-1.356632,1.241629
13,2,-1.220000,1,-1.664935,1.134353
13,3,-1.420000,1,-1.915658,1.008054
13,4,-1.610000,1,-2.116555,0.884966
13,5,-1.790000,1,-2.280174,0.775375
13,6,-1.970000,1,-2.418984,0.682096
13,7,-2.140000,0,-1.663884,0.658234
13,8,-1.960000,1,-1.775482,0.596063
13,9,-2.010000,1,-1.871939,0.537823
13,10,-2.040000,1,-1.955850,0.484282
13,11,-2.070000,1,-2.028252,0.440210
13,12,-2.090000,0,-1.820079,0.481081
13,13,-2.020000,1,-1.884595,0.416714
13,14,-2.040000,0,-1.739553,0.521870
13,15,-1.980000,1,-1.809016,0.455333
13,16,-2.000000,0,-1.664077,0.561569
13,17,-1.940000,1,-1.739581,0.493918
13,18,-1.950000,1,-1.802993,0.425895
13,19,-1.970000,1,-1.853059,0.363594
13,20,-1.980000,1,-1.892805,0.306919
13,21,-1.990000,1,-1.923921,0.257266
13,22,-2.000000,1,-1.948233,0.215053
13,23,-2.000000,0,-1.879197,0.301558
13,24,-1.970000,1,-1.909068,0.251607
13,25,-1.980000,1,-1.932150,0.209484
13,26,-1.990000,1,-1.950174,0.174757
13,27,-1.990000,1,-1.964659,0.145685
13,28,-2.000000,1,-1.976348,0.122680
13,29,-2.000000,1,-1.986083,0.104123
13,30,-2.010000,1,-1.994331,0.089919
13,31,-2.010000,1,-2.001496,0.078803
13,32,-2.020000,1,-2.007855,0.070507
13,33,-2.020000,1,-2.013582,0.064129
13,34,-2.030000,0,-1.992709,0.076686
13,35,-2.010000,1,-1.998722,0.068504
13,36,-2.010000,1,-2.004128,0.062224
13,37,-2.020000,1,-2.009088,0.057575
13,38,-2.020000,1,-2.013668,0.053983
13,39,-2.030000,1,-2.017970,0.051271
13,40,-2.030000,0,-2.001431,0.056372
14,1,-1.000000,1,-1.356632,1.241629
14,2,-1.220000,1,-1.664935,1.134353
14,3,-1.420000,1,-1.915658,1.008054
14,4,-1.610000,1,-2.116555,0.884966
14,5,-1.790000,1,-2.280174,0.775375
14,6,-1.970000,1,-2.418984,0.682096
14,7,-2.140000,1,-2.540505,0.603220
14,8,-2.300000,0,-1.885032,0.569382
14,9,-2.120000,0,-1.647398,0.631068
14,10,-1.970000,1,-1.747465,0.563895
14,11,-2.020000,0,-1.553485,0.652221
14,12,-1.910000,1,-1.652084,0.585381
14,13,-1.940000,1,-1.736197,0.516455
14,14,-1.960000,1,-1.806563,0.447677
14,15,-1.980000,1,-1.863377,0.383044
14,16,-2.000000,1,-1.908292,0.325208
14,17,-2.010000,1,-1.944145,0.273641
14,18,-2.020000,1,-1.972580,0.229260
14,19,-2.030000,1,-1.995244,0.192173
14,20,-2.040000,0,-1.929239,0.264391
14,21,-2.000000,1,-1.955336,0.220238
14,22,-2.010000,1,-1.975820,0.183621
14,23,-2.020000,1,-1.992164,0.153898
14,24,-2.030000,0,-1.943825,0.212387
14,25,-2.000000,0,-1.879059,0.294765
14,26,-1.970000,0,-1.789160,0.398143
14,27,-1.930000,1,-1.833644,0.335788
14,28,-1.940000,0,-1.727467,0.450292
14,29,-1.910000,1,-1.779545,0.385017
14,30,-1.920000,1,-1.820529,0.325456
14,31,-1.920000,1,-1.852948,0.271235
14,32,-1.930000,1,-1.877693,0.225279
14,33,-1.940000,1,-1.896731,0.187236
14,34,-1.940000,1,-1.911815,0.155260
14,35,-1.950000,1,-1.923779,0.129850
14,36,-1.950000,1,-1.933601,0.109252
14,37,-1.960000,1,-1.941790,0.093402
14,38,-1.960000,1,-1.948823,0.080929
14,39,-1.970000,1,-1.954987,0.071578
14,40,-1.970000,1,-1.960495,0.064368
15,1,-1.000000,1,-1.356632,1.241629
15,2,-1.220000,1,-1.664935,1.134353
15,3,-1.420000,1,-1.915658,1.008054
15,4,-1.610000,1,-2.116555,0.884966
15,5,-1.790000,1,-2.280174,0.775375
15,6,-1.970000,1,-2.418984,0.682096
15,7,-2.140000,0,-1.663884,0.658234
15,8,-1.960000,1,-1.775482,0.596063
15,9,-2.010000,1,-1.871939,0.537823
15,10,-2.040000,0,-1.639215,0.606086
15,11,-1.950000,1,-1.727861,0.539240
15,12,-1.970000,0,-1.540796,0.642028
15,13,-1.890000,1,-1.634259,0.574312
15,14,-1.910000,1,-1.714240,0.503760
15,15,-1.930000,1,-1.779755,0.435048
15,16,-1.940000,1,-1.832892,0.369500
15,17,-1.960000,1,-1.874046,0.312015
15,18,-1.970000,1,-1.906423,0.261597
15,19,-1.980000,1,-1.931854,0.218760
15,20,-1.990000,1,-1.952016,0.183306
15,21,-1.990000,1,-1.968400,0.153648
15,22,-2.000000,1,-1.981802,0.130337
15,23,-2.010000,1,-1.993080,0.112414
15,24,-2.010000,0,-1.953604,0.150421
15,25,-1.990000,1,-1.966063,0.126888
15,26,-1.990000,1,-1.976477,0.107878
15,27,-2.000000,0,-1.942290,0.146508
15,28,-1.980000,1,-1.953968,0.123479
15,29,-1.980000,1,-1.963718,0.104861
15,30,-1.990000,1,-1.971990,0.090581
15,31,-1.990000,1,-1.979190,0.079375
15,32,-2.000000,1,-1.985582,0.070994
15,33,-2.000000,1,-1.991346,0.064536
15,34,-2.010000,1,-1.996643,0.059747
15,35,-2.010000,1,-2.001541,0.056040
15,36,-2.010000,1,-2.006101,0.053151
15,37,-2.020000,1,-2.010425,0.050944
15,38,-2.020000,1,-2.014510,0.049153
15,39,-2.020000,1,-2.018381,0.047669
15,40,-2.030000,1,-2.022117,0.046461
16,1,-1.000000,1,-1.356632,1.241629
16,2,-1.220000,1,-1.664935,1.134353
16,3,-1.420000,1,-1.915658,1.008054
