repetition, trial, tTest, response, quantile_mean, quantile_sd
12,23,-1.968632,1,-1.974924,0.156736
12,24,-1.981193,1,-1.989590,0.131331
12,25,-1.992074,1,-2.001722,0.111922
12,26,-2.001747,1,-2.012066,0.097339
12,27,-2.010502,1,-2.021131,0.086527
12,28,-2.018469,0,-1.983421,0.108803
12,29,-1.985019,1,-1.992935,0.094071
12,30,-1.992948,1,-2.001133,0.082713
12,31,-2.000131,1,-2.008416,0.074325
12,32,-2.006640,1,-2.015024,0.068129
12,33,-2.012809,1,-2.021022,0.063377
12,34,-2.018517,0,-1.995257,0.072300
12,35,-1.994236,1,-2.001354,0.065828
12,36,-1.999942,1,-2.006950,0.061049
12,37,-2.005137,1,-2.012158,0.057465
12,38,-2.010237,1,-2.016982,0.054636
12,39,-2.014840,1,-2.021473,0.052363
12,40,-2.019312,0,-2.001678,0.055914
13,1,-0.647661,1,-1.323926,1.216125
13,2,-1.106588,1,-1.620842,1.117931
13,3,-1.474511,1,-1.884288,1.012953
13,4,-1.776842,1,-2.115703,0.908826
13,5,-2.034154,1,-2.316118,0.807871
13,6,-2.251309,1,-2.489290,0.713671
13,7,-2.437984,0,-1.842333,0.703598
13,8,-1.958917,1,-1.983644,0.597128
13,9,-2.075849,0,-1.523678,0.733190
13,10,-1.685831,1,-1.676806,0.619451
13,11,-1.813647,1,-1.789803,0.515144
13,12,-1.885459,1,-1.871963,0.425948
13,13,-1.933518,1,-1.932467,0.350069
13,14,-1.968335,1,-1.977627,0.289339
13,15,-1.995786,1,-2.012458,0.241741
13,16,-2.018543,0,-1.882780,0.338928
13,17,-1.931610,1,-1.923117,0.275572
13,18,-1.953016,1,-1.952903,0.224498
13,19,-1.970177,1,-1.975517,0.184532
13,20,-1.984465,1,-1.993259,0.153139
13,21,-1.996743,1,-2.007746,0.129751
13,22,-2.007749,1,-2.019964,0.112119
13,23,-2.017636,0,-1.970844,0.149426
13,24,-1.977242,1,-1.983986,0.125054
13,25,-1.986828,1,-1.994879,0.106459
13,26,-1.995410,1,-2.004194,0.092476
